instant,date,season,year,month,is_holiday,weather_situation,casual,registered,total_rented
348,2011-12-14,Winter,2011,Des,0,Mist / Cloudy,178,3562,3740
349,2011-12-15,Winter,2011,Des,0,Mist / Cloudy,181,3528,3709
350,2011-12-16,Winter,2011,Des,0,Mist / Cloudy,178,3399,3577
351,2011-12-17,Winter,2011,Des,0,Mist / Cloudy,275,2464,2739
352,2011-12-18,Winter,2011,Des,0,Clear / Few clouds,220,2211,2431
353,2011-12-19,Winter,2011,Des,0,Clear / Few clouds,260,3143,3403
354,2011-12-20,Winter,2011,Des,0,Mist / Cloudy,216,3534,3750
355,2011-12-21,Spring,2011,Des,0,Mist / Cloudy,107,2553,2660
356,2011-12-22,Spring,2011,Des,0,Mist / Cloudy,227,2841,3068
357,2011-12-23,Spring,2011,Des,0,Clear / Few clouds,163,2046,2209
358,2011-12-24,Spring,2011,Des,0,Clear / Few clouds,155,856,1011
359,2011-12-25,Spring,2011,Des,0,Clear / Few clouds,303,451,754
360,2011-12-26,Spring,2011,Des,1,Clear / Few clouds,430,887,1317
361,2011-12-27,Spring,2011,Des,0,Mist / Cloudy,103,1059,1162
362,2011-12-28,Spring,2011,Des,0,Clear / Few clouds,255,2047,2302
363,2011-12-29,Spring,2011,Des,0,Clear / Few clouds,254,2169,2423
364,2011-12-30,Spring,2011,Des,0,Clear / Few clouds,491,2508,2999
365,2011-12-31,Spring,2011,Des,0,Clear / Few clouds,665,1820,2485
366,2012-01-01,Spring,2012,Jan,0,Clear / Few clouds,686,1608,2294
367,2012-01-02,Spring,2012,Jan,1,Clear / Few clouds,244,1707,1951
368,2012-01-03,Spring,2012,Jan,0,Clear / Few clouds,89,2147,2236
369,2012-01-04,Spring,2012,Jan,0,Mist / Cloudy,95,2273,2368
370,2012-01-05,Spring,2012,Jan,0,Clear / Few clouds,140,3132,3272
371,2012-01-06,Spring,2012,Jan,0,Clear / Few clouds,307,3791,4098
372,2012-01-07,Spring,2012,Jan,0,Clear / Few clouds,1070,3451,4521
373,2012-01-08,Spring,2012,Jan,0,Clear / Few clouds,599,2826,3425
374,2012-01-09,Spring,2012,Jan,0,Mist / Cloudy,106,2270,2376
375,2012-01-10,Spring,2012,Jan,0,Clear / Few clouds,173,3425,3598
376,2012-01-11,Spring,2012,Jan,0,Mist / Cloudy,92,2085,2177
377,2012-01-12,Spring,2012,Jan,0,Mist / Cloudy,269,3828,4097
378,2012-01-13,Spring,2012,Jan,0,Clear / Few clouds,174,3040,3214
379,2012-01-14,Spring,2012,Jan,0,Clear / Few clouds,333,2160,2493
380,2012-01-15,Spring,2012,Jan,0,Clear / Few clouds,284,2027,2311
381,2012-01-16,Spring,2012,Jan,1,Clear / Few clouds,217,2081,2298
382,2012-01-17,Spring,2012,Jan,0,Mist / Cloudy,127,2808,2935
383,2012-01-18,Spring,2012,Jan,0,Clear / Few clouds,109,3267,3376
384,2012-01-19,Spring,2012,Jan,0,Clear / Few clouds,130,3162,3292
385,2012-01-20,Spring,2012,Jan,0,Mist / Cloudy,115,3048,3163
386,2012-01-21,Spring,2012,Jan,0,Mist / Cloudy,67,1234,1301
387,2012-01-22,Spring,2012,Jan,0,Mist / Cloudy,196,1781,1977
388,2012-01-23,Spring,2012,Jan,0,Mist / Cloudy,145,2287,2432
389,2012-01-24,Spring,2012,Jan,0,Clear / Few clouds,439,3900,4339
390,2012-01-25,Spring,2012,Jan,0,Clear / Few clouds,467,3803,4270
391,2012-01-26,Spring,2012,Jan,0,Mist / Cloudy,244,3831,4075
392,2012-01-27,Spring,2012,Jan,0,Mist / Cloudy,269,3187,3456
393,2012-01-28,Spring,2012,Jan,0,Clear / Few clouds,775,3248,4023
394,2012-01-29,Spring,2012,Jan,0,Clear / Few clouds,558,2685,3243
395,2012-01-30,Spring,2012,Jan,0,Clear / Few clouds,126,3498,3624
396,2012-01-31,Spring,2012,Jan,0,Clear / Few clouds,324,4185,4509
397,2012-02-01,Spring,2012,Feb,0,Clear / Few clouds,304,4275,4579
398,2012-02-02,Spring,2012,Feb,0,Mist / Cloudy,190,3571,3761
399,2012-02-03,Spring,2012,Feb,0,Clear / Few clouds,310,3841,4151
400,2012-02-04,Spring,2012,Feb,0,Mist / Cloudy,384,2448,2832
401,2012-02-05,Spring,2012,Feb,0,Mist / Cloudy,318,2629,2947
402,2012-02-06,Spring,2012,Feb,0,Clear / Few clouds,206,3578,3784
403,2012-02-07,Spring,2012,Feb,0,Clear / Few clouds,199,4176,4375
404,2012-02-08,Spring,2012,Feb,0,Mist / Cloudy,109,2693,2802
405,2012-02-09,Spring,2012,Feb,0,Clear / Few clouds,163,3667,3830
406,2012-02-10,Spring,2012,Feb,0,Mist / Cloudy,227,3604,3831
407,2012-02-11,Spring,2012,Feb,0,Light Rain / Snow,192,1977,2169
408,2012-02-12,Spring,2012,Feb,0,Clear / Few clouds,73,1456,1529
409,2012-02-13,Spring,2012,Feb,0,Clear / Few clouds,94,3328,3422
410,2012-02-14,Spring,2012,Feb,0,Mist / Cloudy,135,3787,3922
411,2012-02-15,Spring,2012,Feb,0,Clear / Few clouds,141,4028,4169
412,2012-02-16,Spring,2012,Feb,0,Mist / Cloudy,74,2931,3005
413,2012-02-17,Spring,2012,Feb,0,Clear / Few clouds,349,3805,4154
414,2012-02-18,Spring,2012,Feb,0,Clear / Few clouds,1435,2883,4318
415,2012-02-19,Spring,2012,Feb,0,Mist / Cloudy,618,2071,2689
416,2012-02-20,Spring,2012,Feb,1,Clear / Few clouds,502,2627,3129
417,2012-02-21,Spring,2012,Feb,0,Clear / Few clouds,163,3614,3777
418,2012-02-22,Spring,2012,Feb,0,Clear / Few clouds,394,4379,4773
419,2012-02-23,Spring,2012,Feb,0,Clear / Few clouds,516,4546,5062
420,2012-02-24,Spring,2012,Feb,0,Mist / Cloudy,246,3241,3487
421,2012-02-25,Spring,2012,Feb,0,Clear / Few clouds,317,2415,2732
422,2012-02-26,Spring,2012,Feb,0,Clear / Few clouds,515,2874,3389
423,2012-02-27,Spring,2012,Feb,0,Clear / Few clouds,253,4069,4322
424,2012-02-28,Spring,2012,Feb,0,Clear / Few clouds,229,4134,4363
425,2012-02-29,Spring,2012,Feb,0,Mist / Cloudy,65,1769,1834
426,2012-03-01,Spring,2012,Mar,0,Clear / Few clouds,325,4665,4990
427,2012-03-02,Spring,2012,Mar,0,Mist / Cloudy,246,2948,3194
428,2012-03-03,Spring,2012,Mar,0,Mist / Cloudy,956,3110,4066
429,2012-03-04,Spring,2012,Mar,0,Clear / Few clouds,710,2713,3423
430,2012-03-05,Spring,2012,Mar,0,Clear / Few clouds,203,3130,3333
431,2012-03-06,Spring,2012,Mar,0,Clear / Few clouds,221,3735,3956
432,2012-03-07,Spring,2012,Mar,0,Clear / Few clouds,432,4484,4916
433,2012-03-08,Spring,2012,Mar,0,Clear / Few clouds,486,4896,5382
434,2012-03-09,Spring,2012,Mar,0,Mist / Cloudy,447,4122,4569
435,2012-03-10,Spring,2012,Mar,0,Clear / Few clouds,968,3150,4118
436,2012-03-11,Spring,2012,Mar,0,Clear / Few clouds,1658,3253,4911
437,2012-03-12,Spring,2012,Mar,0,Clear / Few clouds,838,4460,5298
438,2012-03-13,Spring,2012,Mar,0,Clear / Few clouds,762,5085,5847
439,2012-03-14,Spring,2012,Mar,0,Clear / Few clouds,997,5315,6312
440,2012-03-15,Spring,2012,Mar,0,Clear / Few clouds,1005,5187,6192
441,2012-03-16,Spring,2012,Mar,0,Mist / Cloudy,548,3830,4378
442,2012-03-17,Spring,2012,Mar,0,Mist / Cloudy,3155,4681,7836
443,2012-03-18,Spring,2012,Mar,0,Mist / Cloudy,2207,3685,5892
444,2012-03-19,Spring,2012,Mar,0,Clear / Few clouds,982,5171,6153
445,2012-03-20,Spring,2012,Mar,0,Clear / Few clouds,1051,5042,6093
446,2012-03-21,Summer,2012,Mar,0,Mist / Cloudy,1122,5108,6230
447,2012-03-22,Summer,2012,Mar,0,Clear / Few clouds,1334,5537,6871
448,2012-03-23,Summer,2012,Mar,0,Mist / Cloudy,2469,5893,8362
449,2012-03-24,Summer,2012,Mar,0,Mist / Cloudy,1033,2339,3372
450,2012-03-25,Summer,2012,Mar,0,Mist / Cloudy,1532,3464,4996
451,2012-03-26,Summer,2012,Mar,0,Clear / Few clouds,795,4763,5558
452,2012-03-27,Summer,2012,Mar,0,Clear / Few clouds,531,4571,5102
453,2012-03-28,Summer,2012,Mar,0,Clear / Few clouds,674,5024,5698
454,2012-03-29,Summer,2012,Mar,0,Clear / Few clouds,834,5299,6133
455,2012-03-30,Summer,2012,Mar,0,Mist / Cloudy,796,4663,5459
456,2012-03-31,Summer,2012,Mar,0,Mist / Cloudy,2301,3934,6235
457,2012-04-01,Summer,2012,Apr,0,Mist / Cloudy,2347,3694,6041
458,2012-04-02,Summer,2012,Apr,0,Clear / Few clouds,1208,4728,5936
459,2012-04-03,Summer,2012,Apr,0,Clear / Few clouds,1348,5424,6772
460,2012-04-04,Summer,2012,Apr,0,Clear / Few clouds,1058,5378,6436
461,2012-04-05,Summer,2012,Apr,0,Clear / Few clouds,1192,5265,6457
462,2012-04-06,Summer,2012,Apr,0,Clear / Few clouds,1807,4653,6460
463,2012-04-07,Summer,2012,Apr,0,Clear / Few clouds,3252,3605,6857
464,2012-04-08,Summer,2012,Apr,0,Clear / Few clouds,2230,2939,5169
465,2012-04-09,Summer,2012,Apr,0,Clear / Few clouds,905,4680,5585
466,2012-04-10,Summer,2012,Apr,0,Clear / Few clouds,819,5099,5918
467,2012-04-11,Summer,2012,Apr,0,Clear / Few clouds,482,4380,4862
468,2012-04-12,Summer,2012,Apr,0,Clear / Few clouds,663,4746,5409
469,2012-04-13,Summer,2012,Apr,0,Clear / Few clouds,1252,5146,6398
470,2012-04-14,Summer,2012,Apr,0,Clear / Few clouds,2795,4665,7460
471,2012-04-15,Summer,2012,Apr,0,Clear / Few clouds,2846,4286,7132
472,2012-04-16,Summer,2012,Apr,1,Clear / Few clouds,1198,5172,6370
473,2012-04-17,Summer,2012,Apr,0,Clear / Few clouds,989,5702,6691
474,2012-04-18,Summer,2012,Apr,0,Mist / Cloudy,347,4020,4367
475,2012-04-19,Summer,2012,Apr,0,Clear / Few clouds,846,5719,6565
476,2012-04-20,Summer,2012,Apr,0,Clear / Few clouds,1340,5950,7290
477,2012-04-21,Summer,2012,Apr,0,Clear / Few clouds,2541,4083,6624
478,2012-04-22,Summer,2012,Apr,0,Light Rain / Snow,120,907,1027
479,2012-04-23,Summer,2012,Apr,0,Mist / Cloudy,195,3019,3214
480,2012-04-24,Summer,2012,Apr,0,Clear / Few clouds,518,5115,5633
481,2012-04-25,Summer,2012,Apr,0,Clear / Few clouds,655,5541,6196
482,2012-04-26,Summer,2012,Apr,0,Mist / Cloudy,475,4551,5026
483,2012-04-27,Summer,2012,Apr,0,Clear / Few clouds,1014,5219,6233
484,2012-04-28,Summer,2012,Apr,0,Mist / Cloudy,1120,3100,4220
485,2012-04-29,Summer,2012,Apr,0,Clear / Few clouds,2229,4075,6304
486,2012-04-30,Summer,2012,Apr,0,Mist / Cloudy,665,4907,5572
487,2012-05-01,Summer,2012,Mei,0,Mist / Cloudy,653,5087,5740
488,2012-05-02,Summer,2012,Mei,0,Clear / Few clouds,667,5502,6169
489,2012-05-03,Summer,2012,Mei,0,Mist / Cloudy,764,5657,6421
490,2012-05-04,Summer,2012,Mei,0,Clear / Few clouds,1069,5227,6296
491,2012-05-05,Summer,2012,Mei,0,Mist / Cloudy,2496,4387,6883
492,2012-05-06,Summer,2012,Mei,0,Mist / Cloudy,2135,4224,6359
493,2012-05-07,Summer,2012,Mei,0,Mist / Cloudy,1008,5265,6273
494,2012-05-08,Summer,2012,Mei,0,Mist / Cloudy,738,4990,5728
495,2012-05-09,Summer,2012,Mei,0,Mist / Cloudy,620,4097,4717
496,2012-05-10,Summer,2012,Mei,0,Clear / Few clouds,1026,5546,6572
497,2012-05-11,Summer,2012,Mei,0,Clear / Few clouds,1319,5711,7030
498,2012-05-12,Summer,2012,Mei,0,Clear / Few clouds,2622,4807,7429
499,2012-05-13,Summer,2012,Mei,0,Clear / Few clouds,2172,3946,6118
500,2012-05-14,Summer,2012,Mei,0,Mist / Cloudy,342,2501,2843
501,2012-05-15,Summer,2012,Mei,0,Mist / Cloudy,625,4490,5115
502,2012-05-16,Summer,2012,Mei,0,Clear / Few clouds,991,6433,7424
503,2012-05-17,Summer,2012,Mei,0,Clear / Few clouds,1242,6142,7384
504,2012-05-18,Summer,2012,Mei,0,Clear / Few clouds,1521,6118,7639
505,2012-05-19,Summer,2012,Mei,0,Clear / Few clouds,3410,4884,8294
506,2012-05-20,Summer,2012,Mei,0,Clear / Few clouds,2704,4425,7129
507,2012-05-21,Summer,2012,Mei,0,Mist / Cloudy,630,3729,4359
508,2012-05-22,Summer,2012,Mei,0,Mist / Cloudy,819,5254,6073
509,2012-05-23,Summer,2012,Mei,0,Mist / Cloudy,766,4494,5260
510,2012-05-24,Summer,2012,Mei,0,Clear / Few clouds,1059,5711,6770
511,2012-05-25,Summer,2012,Mei,0,Clear / Few clouds,1417,5317,6734
512,2012-05-26,Summer,2012,Mei,0,Clear / Few clouds,2855,3681,6536
513,2012-05-27,Summer,2012,Mei,0,Clear / Few clouds,3283,3308,6591
514,2012-05-28,Summer,2012,Mei,1,Clear / Few clouds,2557,3486,6043
515,2012-05-29,Summer,2012,Mei,0,Clear / Few clouds,880,4863,5743
516,2012-05-30,Summer,2012,Mei,0,Mist / Cloudy,745,6110,6855
517,2012-05-31,Summer,2012,Mei,0,Clear / Few clouds,1100,6238,7338
518,2012-06-01,Summer,2012,Juni,0,Mist / Cloudy,533,3594,4127
519,2012-06-02,Summer,2012,Juni,0,Clear / Few clouds,2795,5325,8120
520,2012-06-03,Summer,2012,Juni,0,Clear / Few clouds,2494,5147,7641
521,2012-06-04,Summer,2012,Juni,0,Clear / Few clouds,1071,5927,6998
522,2012-06-05,Summer,2012,Juni,0,Mist / Cloudy,968,6033,7001
523,2012-06-06,Summer,2012,Juni,0,Clear / Few clouds,1027,6028,7055
524,2012-06-07,Summer,2012,Juni,0,Clear / Few clouds,1038,6456,7494
525,2012-06-08,Summer,2012,Juni,0,Clear / Few clouds,1488,6248,7736
526,2012-06-09,Summer,2012,Juni,0,Clear / Few clouds,2708,4790,7498
527,2012-06-10,Summer,2012,Juni,0,Clear / Few clouds,2224,4374,6598
528,2012-06-11,Summer,2012,Juni,0,Mist / Cloudy,1017,5647,6664
529,2012-06-12,Summer,2012,Juni,0,Mist / Cloudy,477,4495,4972
530,2012-06-13,Summer,2012,Juni,0,Clear / Few clouds,1173,6248,7421
531,2012-06-14,Summer,2012,Juni,0,Clear / Few clouds,1180,6183,7363
532,2012-06-15,Summer,2012,Juni,0,Clear / Few clouds,1563,6102,7665
533,2012-06-16,Summer,2012,Juni,0,Clear / Few clouds,2963,4739,7702
534,2012-06-17,Summer,2012,Juni,0,Clear / Few clouds,2634,4344,6978
535,2012-06-18,Summer,2012,Juni,0,Mist / Cloudy,653,4446,5099
536,2012-06-19,Summer,2012,Juni,0,Clear / Few clouds,968,5857,6825
537,2012-06-20,Summer,2012,Juni,0,Clear / Few clouds,872,5339,6211
538,2012-06-21,Fall,2012,Juni,0,Clear / Few clouds,778,5127,5905
539,2012-06-22,Fall,2012,Juni,0,Clear / Few clouds,964,4859,5823
540,2012-06-23,Fall,2012,Juni,0,Clear / Few clouds,2657,4801,7458
541,2012-06-24,Fall,2012,Juni,0,Clear / Few clouds,2551,4340,6891
542,2012-06-25,Fall,2012,Juni,0,Clear / Few clouds,1139,5640,6779
543,2012-06-26,Fall,2012,Juni,0,Clear / Few clouds,1077,6365,7442
544,2012-06-27,Fall,2012,Juni,0,Clear / Few clouds,1077,6258,7335
545,2012-06-28,Fall,2012,Juni,0,Clear / Few clouds,921,5958,6879
546,2012-06-29,Fall,2012,Juni,0,Clear / Few clouds,829,4634,5463
547,2012-06-30,Fall,2012,Juni,0,Clear / Few clouds,1455,4232,5687
548,2012-07-01,Fall,2012,Juli,0,Clear / Few clouds,1421,4110,5531
549,2012-07-02,Fall,2012,Juli,0,Clear / Few clouds,904,5323,6227
550,2012-07-03,Fall,2012,Juli,0,Clear / Few clouds,1052,5608,6660
551,2012-07-04,Fall,2012,Juli,1,Clear / Few clouds,2562,4841,7403
552,2012-07-05,Fall,2012,Juli,0,Clear / Few clouds,1405,4836,6241
553,2012-07-06,Fall,2012,Juli,0,Clear / Few clouds,1366,4841,6207
554,2012-07-07,Fall,2012,Juli,0,Clear / Few clouds,1448,3392,4840
555,2012-07-08,Fall,2012,Juli,0,Clear / Few clouds,1203,3469,4672
556,2012-07-09,Fall,2012,Juli,0,Mist / Cloudy,998,5571,6569
557,2012-07-10,Fall,2012,Juli,0,Mist / Cloudy,954,5336,6290
558,2012-07-11,Fall,2012,Juli,0,Clear / Few clouds,975,6289,7264
559,2012-07-12,Fall,2012,Juli,0,Clear / Few clouds,1032,6414,7446
560,2012-07-13,Fall,2012,Juli,0,Mist / Cloudy,1511,5988,7499
561,2012-07-14,Fall,2012,Juli,0,Mist / Cloudy,2355,4614,6969
562,2012-07-15,Fall,2012,Juli,0,Clear / Few clouds,1920,4111,6031
563,2012-07-16,Fall,2012,Juli,0,Clear / Few clouds,1088,5742,6830
564,2012-07-17,Fall,2012,Juli,0,Clear / Few clouds,921,5865,6786
565,2012-07-18,Fall,2012,Juli,0,Clear / Few clouds,799,4914,5713
566,2012-07-19,Fall,2012,Juli,0,Clear / Few clouds,888,5703,6591
567,2012-07-20,Fall,2012,Juli,0,Mist / Cloudy,747,5123,5870
568,2012-07-21,Fall,2012,Juli,0,Light Rain / Snow,1264,3195,4459
569,2012-07-22,Fall,2012,Juli,0,Mist / Cloudy,2544,4866,7410
570,2012-07-23,Fall,2012,Juli,0,Clear / Few clouds,1135,5831,6966
571,2012-07-24,Fall,2012,Juli,0,Clear / Few clouds,1140,6452,7592
572,2012-07-25,Fall,2012,Juli,0,Clear / Few clouds,1383,6790,8173
573,2012-07-26,Fall,2012,Juli,0,Clear / Few clouds,1036,5825,6861
574,2012-07-27,Fall,2012,Juli,0,Clear / Few clouds,1259,5645,6904
575,2012-07-28,Fall,2012,Juli,0,Clear / Few clouds,2234,4451,6685
576,2012-07-29,Fall,2012,Juli,0,Clear / Few clouds,2153,4444,6597
577,2012-07-30,Fall,2012,Juli,0,Clear / Few clouds,1040,6065,7105
578,2012-07-31,Fall,2012,Juli,0,Clear / Few clouds,968,6248,7216
579,2012-08-01,Fall,2012,Agust,0,Clear / Few clouds,1074,6506,7580
580,2012-08-02,Fall,2012,Agust,0,Clear / Few clouds,983,6278,7261
581,2012-08-03,Fall,2012,Agust,0,Mist / Cloudy,1328,5847,7175
582,2012-08-04,Fall,2012,Agust,0,Clear / Few clouds,2345,4479,6824
583,2012-08-05,Fall,2012,Agust,0,Clear / Few clouds,1707,3757,5464
584,2012-08-06,Fall,2012,Agust,0,Mist / Cloudy,1233,5780,7013
585,2012-08-07,Fall,2012,Agust,0,Mist / Cloudy,1278,5995,7273
586,2012-08-08,Fall,2012,Agust,0,Mist / Cloudy,1263,6271,7534
587,2012-08-09,Fall,2012,Agust,0,Clear / Few clouds,1196,6090,7286
588,2012-08-10,Fall,2012,Agust,0,Mist / Cloudy,1065,4721,5786
589,2012-08-11,Fall,2012,Agust,0,Mist / Cloudy,2247,4052,6299
590,2012-08-12,Fall,2012,Agust,0,Clear / Few clouds,2182,4362,6544
591,2012-08-13,Fall,2012,Agust,0,Clear / Few clouds,1207,5676,6883
592,2012-08-14,Fall,2012,Agust,0,Clear / Few clouds,1128,5656,6784
593,2012-08-15,Fall,2012,Agust,0,Clear / Few clouds,1198,6149,7347
594,2012-08-16,Fall,2012,Agust,0,Clear / Few clouds,1338,6267,7605
595,2012-08-17,Fall,2012,Agust,0,Clear / Few clouds,1483,5665,7148
596,2012-08-18,Fall,2012,Agust,0,Clear / Few clouds,2827,5038,7865
597,2012-08-19,Fall,2012,Agust,0,Mist / Cloudy,1208,3341,4549
598,2012-08-20,Fall,2012,Agust,0,Mist / Cloudy,1026,5504,6530
599,2012-08-21,Fall,2012,Agust,0,Clear / Few clouds,1081,5925,7006
600,2012-08-22,Fall,2012,Agust,0,Clear / Few clouds,1094,6281,7375
601,2012-08-23,Fall,2012,Agust,0,Clear / Few clouds,1363,6402,7765
602,2012-08-24,Fall,2012,Agust,0,Mist / Cloudy,1325,6257,7582
603,2012-08-25,Fall,2012,Agust,0,Mist / Cloudy,1829,4224,6053
604,2012-08-26,Fall,2012,Agust,0,Mist / Cloudy,1483,3772,5255
605,2012-08-27,Fall,2012,Agust,0,Clear / Few clouds,989,5928,6917
606,2012-08-28,Fall,2012,Agust,0,Clear / Few clouds,935,6105,7040
607,2012-08-29,Fall,2012,Agust,0,Clear / Few clouds,1177,6520,7697
608,2012-08-30,Fall,2012,Agust,0,Clear / Few clouds,1172,6541,7713
609,2012-08-31,Fall,2012,Agust,0,Clear / Few clouds,1433,5917,7350
610,2012-09-01,Fall,2012,Sep,0,Mist / Cloudy,2352,3788,6140
611,2012-09-02,Fall,2012,Sep,0,Mist / Cloudy,2613,3197,5810
612,2012-09-03,Fall,2012,Sep,1,Clear / Few clouds,1965,4069,6034
613,2012-09-04,Fall,2012,Sep,0,Clear / Few clouds,867,5997,6864
614,2012-09-05,Fall,2012,Sep,0,Clear / Few clouds,832,6280,7112
615,2012-09-06,Fall,2012,Sep,0,Mist / Cloudy,611,5592,6203
616,2012-09-07,Fall,2012,Sep,0,Clear / Few clouds,1045,6459,7504
617,2012-09-08,Fall,2012,Sep,0,Mist / Cloudy,1557,4419,5976
618,2012-09-09,Fall,2012,Sep,0,Clear / Few clouds,2570,5657,8227
619,2012-09-10,Fall,2012,Sep,0,Clear / Few clouds,1118,6407,7525
620,2012-09-11,Fall,2012,Sep,0,Clear / Few clouds,1070,6697,7767
621,2012-09-12,Fall,2012,Sep,0,Clear / Few clouds,1050,6820,7870
622,2012-09-13,Fall,2012,Sep,0,Clear / Few clouds,1054,6750,7804
623,2012-09-14,Fall,2012,Sep,0,Clear / Few clouds,1379,6630,8009
624,2012-09-15,Fall,2012,Sep,0,Clear / Few clouds,3160,5554,8714
625,2012-09-16,Fall,2012,Sep,0,Clear / Few clouds,2166,5167,7333
626,2012-09-17,Fall,2012,Sep,0,Mist / Cloudy,1022,5847,6869
627,2012-09-18,Fall,2012,Sep,0,Mist / Cloudy,371,3702,4073
628,2012-09-19,Fall,2012,Sep,0,Clear / Few clouds,788,6803,7591
629,2012-09-20,Fall,2012,Sep,0,Clear / Few clouds,939,6781,7720
630,2012-09-21,Fall,2012,Sep,0,Clear / Few clouds,1250,6917,8167
631,2012-09-22,Fall,2012,Sep,0,Clear / Few clouds,2512,5883,8395
632,2012-09-23,Winter,2012,Sep,0,Clear / Few clouds,2454,5453,7907
633,2012-09-24,Winter,2012,Sep,0,Clear / Few clouds,1001,6435,7436
634,2012-09-25,Winter,2012,Sep,0,Clear / Few clouds,845,6693,7538
635,2012-09-26,Winter,2012,Sep,0,Clear / Few clouds,787,6946,7733
636,2012-09-27,Winter,2012,Sep,0,Mist / Cloudy,751,6642,7393
637,2012-09-28,Winter,2012,Sep,0,Mist / Cloudy,1045,6370,7415
638,2012-09-29,Winter,2012,Sep,0,Clear / Few clouds,2589,5966,8555
639,2012-09-30,Winter,2012,Sep,0,Clear / Few clouds,2015,4874,6889
640,2012-10-01,Winter,2012,Okt,0,Mist / Cloudy,763,6015,6778
641,2012-10-02,Winter,2012,Okt,0,Light Rain / Snow,315,4324,4639
642,2012-10-03,Winter,2012,Okt,0,Mist / Cloudy,728,6844,7572
643,2012-10-04,Winter,2012,Okt,0,Mist / Cloudy,891,6437,7328
644,2012-10-05,Winter,2012,Okt,0,Clear / Few clouds,1516,6640,8156
645,2012-10-06,Winter,2012,Okt,0,Clear / Few clouds,3031,4934,7965
646,2012-10-07,Winter,2012,Okt,0,Mist / Cloudy,781,2729,3510
647,2012-10-08,Winter,2012,Okt,1,Mist / Cloudy,874,4604,5478
648,2012-10-09,Winter,2012,Okt,0,Mist / Cloudy,601,5791,6392
649,2012-10-10,Winter,2012,Okt,0,Clear / Few clouds,780,6911,7691
650,2012-10-11,Winter,2012,Okt,0,Clear / Few clouds,834,6736,7570
651,2012-10-12,Winter,2012,Okt,0,Clear / Few clouds,1060,6222,7282
652,2012-10-13,Winter,2012,Okt,0,Clear / Few clouds,2252,4857,7109
653,2012-10-14,Winter,2012,Okt,0,Clear / Few clouds,2080,4559,6639
654,2012-10-15,Winter,2012,Okt,0,Mist / Cloudy,760,5115,5875
655,2012-10-16,Winter,2012,Okt,0,Clear / Few clouds,922,6612,7534
656,2012-10-17,Winter,2012,Okt,0,Clear / Few clouds,979,6482,7461
657,2012-10-18,Winter,2012,Okt,0,Mist / Cloudy,1008,6501,7509
658,2012-10-19,Winter,2012,Okt,0,Mist / Cloudy,753,4671,5424
659,2012-10-20,Winter,2012,Okt,0,Clear / Few clouds,2806,5284,8090
660,2012-10-21,Winter,2012,Okt,0,Clear / Few clouds,2132,4692,6824
661,2012-10-22,Winter,2012,Okt,0,Clear / Few clouds,830,6228,7058
662,2012-10-23,Winter,2012,Okt,0,Clear / Few clouds,841,6625,7466
663,2012-10-24,Winter,2012,Okt,0,Clear / Few clouds,795,6898,7693
664,2012-10-25,Winter,2012,Okt,0,Mist / Cloudy,875,6484,7359
665,2012-10-26,Winter,2012,Okt,0,Mist / Cloudy,1182,6262,7444
666,2012-10-27,Winter,2012,Okt,0,Mist / Cloudy,2643,5209,7852
667,2012-10-28,Winter,2012,Okt,0,Mist / Cloudy,998,3461,4459
668,2012-10-29,Winter,2012,Okt,0,Light Rain / Snow,2,20,22
669,2012-10-30,Winter,2012,Okt,0,Mist / Cloudy,87,1009,1096
670,2012-10-31,Winter,2012,Okt,0,Mist / Cloudy,419,5147,5566
671,2012-11-01,Winter,2012,Nov,0,Mist / Cloudy,466,5520,5986
672,2012-11-02,Winter,2012,Nov,0,Clear / Few clouds,618,5229,5847
673,2012-11-03,Winter,2012,Nov,0,Mist / Cloudy,1029,4109,5138
674,2012-11-04,Winter,2012,Nov,0,Clear / Few clouds,1201,3906,5107
675,2012-11-05,Winter,2012,Nov,0,Clear / Few clouds,378,4881,5259
676,2012-11-06,Winter,2012,Nov,0,Clear / Few clouds,466,5220,5686
677,2012-11-07,Winter,2012,Nov,0,Mist / Cloudy,326,4709,5035
678,2012-11-08,Winter,2012,Nov,0,Clear / Few clouds,340,4975,5315
679,2012-11-09,Winter,2012,Nov,0,Clear / Few clouds,709,5283,5992
680,2012-11-10,Winter,2012,Nov,0,Clear / Few clouds,2090,4446,6536
681,2012-11-11,Winter,2012,Nov,0,Clear / Few clouds,2290,4562,6852
682,2012-11-12,Winter,2012,Nov,1,Clear / Few clouds,1097,5172,6269
683,2012-11-13,Winter,2012,Nov,0,Mist / Cloudy,327,3767,4094
684,2012-11-14,Winter,2012,Nov,0,Clear / Few clouds,373,5122,5495
685,2012-11-15,Winter,2012,Nov,0,Mist / Cloudy,320,5125,5445
686,2012-11-16,Winter,2012,Nov,0,Clear / Few clouds,484,5214,5698
687,2012-11-17,Winter,2012,Nov,0,Clear / Few clouds,1313,4316,5629
688,2012-11-18,Winter,2012,Nov,0,Clear / Few clouds,922,3747,4669
689,2012-11-19,Winter,2012,Nov,0,Mist / Cloudy,449,5050,5499
690,2012-11-20,Winter,2012,Nov,0,Mist / Cloudy,534,5100,5634
691,2012-11-21,Winter,2012,Nov,0,Clear / Few clouds,615,4531,5146
692,2012-11-22,Winter,2012,Nov,1,Clear / Few clouds,955,1470,2425
